,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,Posession_Change,HQ_Pass
8,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:47,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,157,0,Indirect,,,,Meghan Lorence,198.0,38.0,1187,8,Home Team,157,198.0,0,38.0,55.90169943749475,0,Tied,"[2, 2]",2,2,Even,No,No
9,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:43,5,5,0,0,Minnesota Whitecaps,Meghan Lorence,Play,193,20,Direct,,,,Haley Mack,196.0,33.0,1183,9,Home Team,193,196.0,20,33.0,13.341664064126336,0,Tied,"[5, 5]",5,5,Even,No,No
11,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:40,5,5,0,0,Boston Pride,Mallory Souliotis,Play,3,49,Direct,,,,Taylor Wenczkowski,37.0,70.0,1180,11,Away Team,197,163.0,36,15.0,39.96248240537617,0,Tied,"[3, 3]",3,3,Even,No,No
14,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:34,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Incomplete Play,140,0,Indirect,,,,Meghan Lorence,172.0,2.0,1174,14,Home Team,140,172.0,0,2.0,32.062439083762804,0,Tied,"[0, 0]",0,0,Even,No,No
17,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:28,5,5,0,0,Boston Pride,Mallory Souliotis,Play,12,33,Direct,,,,Taylor Wenczkowski,61.0,85.0,1168,17,Away Team,188,139.0,52,0.0,71.449282711585,0,Tied,"[2, 2]",2,2,Even,No,No
22,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:17,5,5,0,0,Boston Pride,Mallory Souliotis,Play,25,3,Indirect,,,,Samantha Davis,57.0,3.0,1157,22,Away Team,175,143.0,82,82.0,32.0,0,Tied,"[-2, -2]",-2,-2,Even,No,No
25,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:12,5,5,0,0,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Play,79,80,Direct,,,,Nina Rodgers,105.0,45.0,1152,25,Home Team,79,105.0,80,45.0,43.60045871318328,0,Tied,"[-1, -1]",-1,-1,Even,No,Yes
26,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:09,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Play,118,24,Direct,,,,Allie Thunstrom,134.0,8.0,1149,26,Home Team,118,134.0,24,8.0,22.62741699796952,0,Tied,"[1, 1]",1,1,Even,No,Yes
28,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:08,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,168,10,Direct,,,,Nina Rodgers,161.0,14.0,1148,28,Home Team,168,161.0,10,14.0,8.06225774829855,0,Tied,"[-1, -1]",-1,-1,Even,No,Yes
31,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:59,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,13,60,Indirect,,,,Nina Rodgers,27.0,2.0,1139,31,Home Team,13,27.0,60,2.0,59.6657355607052,0,Tied,"[2, 2]",2,2,Even,No,No
