,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,HQ_Pass
5,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:53,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Play,168,1,Indirect,,,,Laura Stacey,197.0,26.0,1193,6,Home Team,168,197.0,1,26.0,38.28837944,0,Tied,"[0, 0]",0,0,Even,No
7,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:43,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Lyudmila Belyakova,Play,4,64,Direct,,,,Maria Batalova,10.0,69.0,1183,8,Away Team,196,190.0,21,16.0,7.810249676000001,0,Tied,"[0, 0]",0,0,Even,Yes
8,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:41,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Maria Batalova,Play,18,78,Direct,,,,Olga Sosina,42.0,82.0,1181,9,Away Team,182,158.0,7,3.0,24.33105012,0,Tied,"[2, 2]",2,2,Even,Yes
9,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:40,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Olga Sosina,Play,58,82,Indirect,,,,Valeria Pavlova,104.0,8.0,1180,10,Away Team,142,96.0,3,77.0,87.13208364,0,Tied,"[1, 1]",1,1,Even,Yes
12,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:32,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Play,8,68,Direct,,,,Laura Stacey,27.0,64.0,1172,13,Home Team,8,27.0,68,64.0,19.41648784,0,Tied,"[4, 4]",4,4,Even,Yes
13,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:29,5,5,0,0,Olympic (Women) - Canada,Laura Stacey,Play,68,56,Direct,,,,Sarah Nurse,83.0,10.0,1169,14,Home Team,68,83.0,56,10.0,48.38388161,0,Tied,"[3, 3]",3,3,Even,Yes
18,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:22,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Incomplete Play,41,33,Direct,,,,Meghan Agosta,65.0,75.0,1162,19,Home Team,41,65.0,33,75.0,48.37354649,0,Tied,"[2, 2]",2,2,Even,No
20,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:19,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,113,84,Direct,,,,Marie-Philip Poulin,125.0,31.0,1159,21,Home Team,113,125.0,84,31.0,54.34151268,0,Tied,"[0, 0]",0,0,Even,Yes
24,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:16,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yelena Dergachyova,Play,18,53,Direct,,,,Anna Shokhina,22.0,73.0,1156,25,Away Team,182,178.0,32,12.0,20.39607805,0,Tied,"[0, 0]",0,0,Even,No
27,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:09,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Play,64,83,Indirect,,,,Marie-Philip Poulin,96.0,84.0,1149,28,Home Team,64,96.0,83,84.0,32.01562119,0,Tied,"[1, 1]",1,1,Even,Yes
29,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:05,5,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,163,70,Direct,,,,Meghan Agosta,177.0,39.0,1145,30,Home Team,163,177.0,70,39.0,34.0147027,0,Tied,"[1, 1]",1,1,Even,Yes
32,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:01,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yekaterina Nikolayeva,Incomplete Play,17,77,Indirect,,,,Yelena Dergachyova,52.0,83.0,1141,33,Away Team,183,148.0,8,2.0,35.51056181,0,Tied,"[1, 1]",1,1,Even,No
35,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:54,6,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,163,84,Direct,,,,Brigette Lacquette,128.0,82.0,1134,36,Home Team,163,128.0,84,82.0,35.05709629,0,Tied,"[2, 2]",2,2,Advantage,Yes
41,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:49,5,4,0,0,Olympic (Women) - Olympic Athletes from Russia,Maria Batalova,Incomplete Play,8,69,Indirect,,,,Valeria Pavlova,50.0,4.0,1129,42,Away Team,192,150.0,16,81.0,77.38862966,0,Tied,"[0, 0]",0,0,Shorthanded,No
44,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:37,5,4,0,0,Olympic (Women) - Canada,Haley Irwin,Play,173,82,Indirect,,,,Melodie Daoust,188.0,75.0,1117,45,Home Team,173,188.0,82,75.0,16.55294536,0,Tied,"[5, 5]",5,5,Advantage,Yes
45,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:35,5,4,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,174,78,Direct,,,,Marie-Philip Poulin,129.0,75.0,1115,46,Home Team,174,129.0,78,75.0,45.09988914,0,Tied,"[2, 2]",2,2,Advantage,Yes
46,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:33,5,4,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,127,73,Direct,,,,Rebecca Johnston,130.0,21.0,1113,47,Home Team,127,130.0,73,21.0,52.08646657,0,Tied,"[2, 2]",2,2,Advantage,Yes
47,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:28,5,4,0,0,Olympic (Women) - Canada,Rebecca Johnston,Play,143,7,Direct,,,,Melodie Daoust,141.0,28.0,1108,48,Home Team,143,141.0,7,28.0,21.09502311,0,Tied,"[5, 5]",5,5,Advantage,No
48,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:26,5,4,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,146,15,Direct,,,,Rebecca Johnston,175.0,9.0,1106,49,Home Team,146,175.0,15,9.0,29.61418579,0,Tied,"[2, 2]",2,2,Advantage,No
52,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:19,5,4,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,140,4,Direct,,,,Rebecca Johnston,127.0,26.0,1099,53,Home Team,140,127.0,4,26.0,25.55386468,0,Tied,"[2, 2]",2,2,Advantage,Yes
53,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:17,5,4,0,0,Olympic (Women) - Canada,Rebecca Johnston,Play,130,28,Direct,,,,Laura Fortino,144.0,71.0,1097,54,Home Team,130,144.0,28,71.0,45.22167622,0,Tied,"[2, 2]",2,2,Advantage,Yes
62,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:05,5,4,0,0,Olympic (Women) - Canada,Brianne Jenner,Incomplete Play,140,11,Direct,,,,Natalie Spooner,184.0,13.0,1085,63,Home Team,140,184.0,11,13.0,44.04543109,0,Tied,"[2, 2]",2,2,Advantage,No
