,pairID,game_date,Player,Event,X,Y,Team,Manpower,Type,State,sec_Control,passDirection
0,2019-09-20-2,2019-09-20,Emmett Serensits,Incomplete Play,45,49,Sudbury Wolves,Even,Direct,Tied,5,Forward
1,2019-09-20-2,2019-09-20,Emmett Serensits,Incomplete Play,74.0,35.0,Sudbury Wolves,Even,Direct,Tied,5,Forward
2,2019-09-20-4,2019-09-20,Hayden Fowler,Incomplete Play,82,49,Erie Otters,Even,Direct,Tied,1,Forward
3,2019-09-20-4,2019-09-20,Hayden Fowler,Incomplete Play,94.0,46.0,Erie Otters,Even,Direct,Tied,1,Forward
4,2019-09-20-6,2019-09-20,Emmett Serensits,Play,6,60,Sudbury Wolves,Even,Indirect,Tied,3,Forward
5,2019-09-20-6,2019-09-20,Emmett Serensits,Play,29.0,2.0,Sudbury Wolves,Even,Indirect,Tied,3,Forward
6,2019-09-20-8,2019-09-20,Blake Murray,Play,82,50,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
7,2019-09-20-8,2019-09-20,Blake Murray,Play,82.0,54.0,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
8,2019-09-20-12,2019-09-20,Jamie Drysdale,Play,9,74,Erie Otters,Even,Indirect,Tied,0,Neutral
9,2019-09-20-12,2019-09-20,Jamie Drysdale,Play,4.0,29.0,Erie Otters,Even,Indirect,Tied,0,Neutral
10,2019-09-20-13,2019-09-20,Kurtis Henry,Play,4,29,Erie Otters,Even,Indirect,Tied,2,Forward
11,2019-09-20-13,2019-09-20,Kurtis Henry,Play,24.0,2.0,Erie Otters,Even,Indirect,Tied,2,Forward
12,2019-09-20-14,2019-09-20,Hayden Fowler,Incomplete Play,24,2,Erie Otters,Even,Direct,Tied,3,Neutral
13,2019-09-20-14,2019-09-20,Hayden Fowler,Incomplete Play,26.0,43.0,Erie Otters,Even,Direct,Tied,3,Neutral
14,2019-09-20-18,2019-09-20,Blake Murray,Play,187,77,Sudbury Wolves,Even,Direct,Tied,2,Back
15,2019-09-20-18,2019-09-20,Blake Murray,Play,133.0,79.0,Sudbury Wolves,Even,Direct,Tied,2,Back
16,2019-09-20-22,2019-09-20,Jamie Drysdale,Play,23,44,Erie Otters,Even,Direct,Tied,0,Forward
17,2019-09-20-22,2019-09-20,Jamie Drysdale,Play,42.0,61.0,Erie Otters,Even,Direct,Tied,0,Forward
18,2019-09-20-23,2019-09-20,Brendan Sellan,Play,51,75,Erie Otters,Even,Direct,Tied,2,Forward
19,2019-09-20-23,2019-09-20,Brendan Sellan,Play,77.0,82.0,Erie Otters,Even,Direct,Tied,2,Forward
20,2019-09-20-24,2019-09-20,Hayden Fowler,Play,104,81,Erie Otters,Even,Direct,Tied,2,Forward
