,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,Faceoff Win,Puck Recovery,Dump In/Out,Puck Recovery,Play,Incomplete Play,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Faceoff Win,Puck Recovery,Play,Dump In/Out,Puck Recovery,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Faceoff Win,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,Play,Shot,Puck Recovery,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Play,Zone Entry,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Zone Entry,Dump In/Out,Puck Recovery,Play,Play,Dump In/Out,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Play,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Faceoff Win,Puck Recovery,Play,Incomplete Play,Takeaway,Dump In/Out,Puck Recovery,Play,Play,Zone Entry,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Shot,Puck Recovery,Incomplete Play,Takeaway,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Play,Zone Entry,Puck Recovery,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Zone Entry,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Faceoff Win,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Shot,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Play,Zone Entry,Play,Takeaway,Incomplete Play,Puck Recovery,Shot,Puck Recovery,Puck Recovery,Dump In/Out,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Zone Entry,Takeaway,Incomplete Play,Takeaway,Dump In/Out,Puck Recovery,Play,Play,Dump In/Out,Puck Recovery,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Faceoff Win,Puck Recovery,Play,Zone Entry,Shot,Puck Recovery,Play,Play,Play,Zone Entry,Incomplete Play,Puck Recovery,Play,Play,Shot,Puck Recovery,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Faceoff Win,Puck Recovery,Play,Play,Play,Zone Entry,Shot,Puck Recovery,Zone Entry,Shot,Puck Recovery,Play,Puck Recovery,Puck Recovery,Incomplete Play,Takeaway,Play,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Faceoff Win,Puck Recovery,Play,Dump In/Out,Puck Recovery,Dump In/Out,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Zone Entry,Play,Puck Recovery,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Puck Recovery,Play,Play,Shot,Puck Recovery,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
